CustomerID,recency_days,frequency,monetary,r_score,f_score,m_score,segment,segment_group_order
16738,297,1,3.75,1,1,1,Lost,6
14792,63,1,6.2,3,1,1,New Customers,3
16454,44,2,6.9,3,2,1,New Customers,3
17956,249,1,12.75,1,1,1,Lost,6
16878,84,1,13.3,2,1,1,Lost,6
15823,372,1,15.0,1,1,1,Lost,6
17763,263,1,15.0,1,1,1,Lost,6
13307,120,1,15.0,2,1,1,Lost,6
16093,106,1,17.0,2,1,1,Lost,6
17986,56,1,20.8,3,1,1,New Customers,3
16953,30,1,20.8,4,1,1,New Customers,3
17102,261,1,25.5,1,1,1,Lost,6
18268,134,1,25.5,2,1,1,Lost,6
15657,22,1,30.0,4,1,1,New Customers,3
13120,238,1,30.599999999999998,1,1,1,Lost,6
17408,163,1,32.65,2,1,1,Lost,6
16765,294,1,34.0,1,1,1,Lost,6
15744,77,1,34.8,2,1,1,Lost,6
17831,33,1,35.400000000000006,3,1,1,New Customers,3
16856,14,1,35.400000000000006,4,1,1,New Customers,3
14576,372,1,35.400000000000006,1,1,1,Lost,6
15940,311,1,35.8,1,1,1,Lost,6
17816,36,4,36.56,3,2,1,New Customers,3
16162,252,1,37.4,1,1,1,Lost,6
12855,372,1,38.1,1,1,1,Lost,6
18019,51,1,38.45,3,1,1,New Customers,3
16659,189,1,39.12,1,1,1,Lost,6
12977,156,1,39.24,2,1,1,Lost,6
14589,371,1,39.75,1,1,1,Lost,6
15178,260,1,40.5,1,1,1,Lost,6
15992,3,1,41.989999999999995,5,1,1,New Customers,3
14300,18,1,43.2,4,1,1,New Customers,3
15423,38,1,43.5,3,1,1,New Customers,3
14080,32,1,45.599999999999994,3,1,1,New Customers,3
16257,176,1,46.95,2,1,1,Lost,6
15603,78,1,48.480000000000004,2,1,1,Lost,6
14821,366,1,48.800000000000004,1,1,1,Lost,6
18184,15,1,49.8,4,1,1,New Customers,3
13011,372,1,50.550000000000004,1,1,1,Lost,6
14351,164,1,51.0,2,1,1,Lost,6
17844,106,1,51.56,2,1,1,Lost,6
15313,110,1,52.0,2,1,1,Lost,6
14682,187,2,52.0,1,2,1,About to Sleep,5
13832,19,1,52.199999999999996,4,1,1,New Customers,3
14865,7,2,52.2,5,2,1,New Customers,3
15504,81,1,52.83000000000001,2,1,1,Lost,6
16349,290,1,53.5,1,1,1,Lost,6
13366,50,1,56.160000000000004,3,1,1,New Customers,3
15899,368,1,56.25,1,1,1,Lost,6
17775,254,1,56.4,1,1,1,Lost,6
13080,179,1,58.08,1,1,1,Lost,6
14957,253,1,58.49000000000001,1,1,1,Lost,6
13682,187,1,59.5,1,1,1,Lost,6
13391,203,1,59.8,1,1,1,Lost,6
17174,217,1,59.9,1,1,1,Lost,6
13194,135,1,60.7,2,1,1,Lost,6
15516,44,3,62.43,3,2,1,New Customers,3
13218,127,1,62.64,2,1,1,Lost,6
14840,267,1,62.85,1,1,1,Lost,6
14437,365,1,63.0,1,1,1,Lost,6
